year,primary_domain,open,total,pct_open
2010.0,Language,0,1,0.0
2010.0,Other,0,2,0.0
2010.0,Recommendation,0,1,0.0
2010.0,Speech,0,3,0.0
2010.0,Vision,0,11,0.0
2011.0,Language,0,5,0.0
2011.0,Other,0,1,0.0
2011.0,Vision,0,8,0.0
2012.0,Audio,0,1,0.0
2012.0,Language,0,8,0.0
2012.0,Other,0,1,0.0
2012.0,Speech,0,2,0.0
2012.0,Vision,0,8,0.0
2013.0,Games,0,1,0.0
2013.0,Language,0,11,0.0
2013.0,Speech,0,3,0.0
2013.0,Vision,0,12,0.0
2014.0,Games,0,2,0.0
2014.0,Image generation,0,1,0.0
2014.0,Language,0,13,0.0
2014.0,Multimodal,0,1,0.0
2014.0,Other,0,1,0.0
2014.0,Recommendation,0,1,0.0
2014.0,Speech,0,2,0.0
2014.0,Video,0,3,0.0
2014.0,Vision,1,17,5.88235294117647
2015.0,Games,0,4,0.0
2015.0,Image generation,0,2,0.0
2015.0,Language,2,7,28.57142857142857
2015.0,Recommendation,0,1,0.0
2015.0,Robotics,0,1,0.0
2015.0,Speech,0,3,0.0
2015.0,Video,0,1,0.0
2015.0,Vision,5,21,23.809523809523807
2016.0,3D modeling,0,1,0.0
2016.0,Biology,1,1,100.0
2016.0,Games,0,4,0.0
2016.0,Image generation,0,2,0.0
2016.0,Language,1,30,3.3333333333333335
2016.0,Mathematics,0,1,0.0
2016.0,Recommendation,0,2,0.0
2016.0,Speech,0,4,0.0
2016.0,Video,0,1,0.0
2016.0,Vision,10,43,23.25581395348837
2017.0,3D modeling,0,2,0.0
2017.0,Biology,0,1,0.0
2017.0,Games,0,9,0.0
2017.0,Image generation,3,5,60.0
2017.0,Language,0,35,0.0
2017.0,Recommendation,0,1,0.0
2017.0,Speech,0,3,0.0
2017.0,Video,0,1,0.0
2017.0,Vision,2,27,7.4074074074074066
2018.0,Biology,2,4,50.0
2018.0,Games,0,2,0.0
2018.0,Image generation,3,7,42.857142857142854
2018.0,Language,15,55,27.27272727272727
2018.0,Recommendation,0,1,0.0
2018.0,Robotics,0,3,0.0
2018.0,Speech,1,1,100.0
2018.0,Vision,4,14,28.57142857142857
2019.0,3D modeling,1,2,50.0
2019.0,Audio,0,1,0.0
2019.0,Biology,5,8,62.5
2019.0,Games,1,8,12.5
2019.0,Image generation,1,8,12.5
2019.0,Language,27,95,28.421052631578945
2019.0,Materials science,0,4,0.0
2019.0,Recommendation,0,1,0.0
2019.0,Robotics,0,3,0.0
2019.0,Speech,1,2,50.0
2019.0,Vision,13,22,59.09090909090909
2020.0,Biology,11,17,64.70588235294117
2020.0,Earth science,0,2,0.0
2020.0,Games,1,3,33.33333333333333
2020.0,Image generation,2,4,50.0
2020.0,Language,24,73,32.87671232876712
2020.0,Multimodal,0,1,0.0
2020.0,Recommendation,0,1,0.0
2020.0,Robotics,1,1,100.0
2020.0,Speech,1,5,20.0
2020.0,Vision,8,9,88.88888888888889
2021.0,Biology,14,24,58.333333333333336
2021.0,Earth science,0,1,0.0
2021.0,Games,0,4,0.0
2021.0,Image generation,9,16,56.25
2021.0,Language,36,110,32.72727272727273
2021.0,Materials science,1,1,100.0
2021.0,Mathematics,0,1,0.0
2021.0,Medicine,0,1,0.0
2021.0,Multimodal,3,11,27.27272727272727
2021.0,Recommendation,0,4,0.0
2021.0,Robotics,1,1,100.0
2021.0,Search,0,1,0.0
2021.0,Speech,1,6,16.666666666666664
2021.0,Vision,12,18,66.66666666666666
2022.0,Audio,1,1,100.0
2022.0,Biology,23,38,60.526315789473685
2022.0,Earth science,0,1,0.0
2022.0,Games,2,3,66.66666666666666
2022.0,Image generation,11,24,45.83333333333333
2022.0,Language,50,113,44.24778761061947
2022.0,Materials science,2,3,66.66666666666666
2022.0,Medicine,0,2,0.0
2022.0,Multimodal,3,7,42.857142857142854
2022.0,Other,0,1,0.0
2022.0,Recommendation,0,1,0.0
2022.0,Robotics,1,3,33.33333333333333
2022.0,Speech,4,6,66.66666666666666
2022.0,Video,1,5,20.0
2022.0,Vision,6,9,66.66666666666666
2023.0,3D modeling,0,1,0.0
2023.0,Audio,5,10,50.0
2023.0,Biology,20,53,37.735849056603776
2023.0,Earth science,3,3,100.0
2023.0,Games,0,2,0.0
2023.0,Image generation,14,29,48.275862068965516
2023.0,Language,183,304,60.19736842105263
2023.0,Materials science,0,1,0.0
2023.0,Mathematics,2,3,66.66666666666666
2023.0,Medicine,0,3,0.0
2023.0,Multimodal,20,41,48.78048780487805
2023.0,Recommendation,0,1,0.0
2023.0,Robotics,0,10,0.0
2023.0,Speech,4,16,25.0
2023.0,Video,3,9,33.33333333333333
2023.0,Vision,12,22,54.54545454545454
2024.0,3D modeling,1,4,25.0
2024.0,Astronomy,0,1,0.0
2024.0,Audio,4,10,40.0
2024.0,Biology,57,224,25.44642857142857
2024.0,Driving,0,1,0.0
2024.0,Earth science,2,3,66.66666666666666
2024.0,Games,3,7,42.857142857142854
2024.0,Image generation,20,49,40.816326530612244
2024.0,Language,222,376,59.04255319148937
2024.0,Materials science,2,4,50.0
2024.0,Mathematics,2,5,40.0
2024.0,Medicine,1,5,20.0
2024.0,Multimodal,38,80,47.5
2024.0,Other,0,3,0.0
2024.0,Psychology,1,1,100.0
2024.0,Recommendation,0,1,0.0
2024.0,Robotics,5,18,27.77777777777778
2024.0,Search,0,1,0.0
2024.0,Speech,9,30,30.0
2024.0,Video,10,43,23.25581395348837
2024.0,Vision,27,48,56.25
2025.0,3D modeling,5,7,71.42857142857143
2025.0,Audio,0,4,0.0
2025.0,Biology,5,12,41.66666666666667
2025.0,Earth science,5,7,71.42857142857143
2025.0,Games,0,1,0.0
2025.0,Image generation,11,31,35.483870967741936
2025.0,Language,171,287,59.58188153310105
2025.0,Materials science,3,3,100.0
2025.0,Mathematics,5,5,100.0
2025.0,Medicine,1,2,50.0
2025.0,Multimodal,18,46,39.130434782608695
2025.0,Other,0,2,0.0
2025.0,Robotics,5,14,35.714285714285715
2025.0,Speech,10,32,31.25
2025.0,Video,19,53,35.84905660377358
2025.0,Vision,15,24,62.5
